context,old_irish,latin,old_english,lithuanian,old_church_slavonic,albanian,greek,armenian,hittite,avestan,sanskrit,tocharian_b
gʷi.cons,T,F,T,T,T,T,T,T,T,T,T,T
gʷi.sibilant,F,F,F,F,T,T,T,F,F,T,T,F
gʷi.obstr,T,F,T,T,T,T,T,T,T,T,T,T
gʷi.cor,F,F,F,F,T,T,T,F,F,T,T,T
gʷi.cont,F,T,F,F,T,T,T,F,F,F,F,T
gʷi.delrel,F,F,F,F,F,F,F,F,F,T,T,T
gʷi.voice,T,T,F,T,T,T,T,F,F,T,T,F
gʷi.lab,T,F,T,F,F,F,F,F,T,F,F,F
gʷi.ant,F,F,F,F,F,T,T,F,F,F,F,F
gʷi.high,F,T,T,T,F,F,F,T,T,F,F,F
gʷi.back,F,T,T,T,F,F,F,T,T,F,F,F
gʷʰ.cons,T,T,F,T,T,T,T,T,T,T,T,T
gʷʰ.obstr,T,T,F,T,T,T,T,T,T,T,T,T
gʷʰ.cont,F,T,T,F,F,F,F,F,F,F,F,F
gʷʰ.voice,T,F,T,T,T,T,F,T,F,T,T,F
gʷʰ.lab,F,F,F,F,F,F,T,F,T,F,F,F
gʷʰ.spread,F,F,F,F,F,F,T,F,F,F,T,F
gʷʰ.ant,F,T,F,F,F,F,F,F,F,F,F,F
gʷʰ.high,T,F,T,T,T,T,F,T,T,T,T,T
gʷʰ.back,T,F,T,T,T,T,F,T,T,T,T,T
gʷʰi.distr,F,F,F,F,T,F,F,T,F,T,F,T
gʷʰi.cons,T,T,F,T,T,T,T,T,T,T,T,T
gʷʰi.sibilant,F,F,F,F,T,T,F,T,F,T,F,F
gʷʰi.obstr,T,T,F,T,T,T,T,T,T,T,T,T
gʷʰi.cor,F,F,F,F,T,T,F,T,F,T,F,T
gʷʰi.cont,F,T,T,F,T,T,F,F,F,F,T,T
gʷʰi.delrel,F,F,F,F,F,F,F,T,F,T,F,T
gʷʰi.voice,T,F,T,T,T,T,F,T,F,T,T,F
gʷʰi.lab,F,F,F,F,F,F,T,F,T,F,F,F
gʷʰi.spread,F,F,F,F,F,F,T,F,F,F,F,F
gʷʰi.ant,F,T,F,F,F,T,F,F,F,F,F,F
gʷʰi.high,T,F,T,T,F,F,F,F,T,F,F,F
gʷʰi.back,T,F,T,T,F,F,F,F,T,F,F,F
s.cons,T,T,T,T,T,T,T,T,T,T,T,T
s.sibilant,T,T,T,T,T,T,F,F,T,F,T,T
s.obstr,T,T,T,T,T,T,T,T,T,T,T,T
s.cor,T,T,T,T,T,T,F,F,T,F,T,T
s.cont,T,T,T,T,T,T,T,T,T,T,T,T
s.distr,F,F,F,F,F,T,F,F,F,F,F,F
s.ant,T,T,T,T,T,F,F,F,T,F,T,T
si.cons,T,T,T,T,T,T,T,T,T,T,T,T
si.sibilant,T,T,T,T,T,T,F,F,T,F,T,T
si.obstr,T,T,T,T,T,T,T,T,T,T,T,T
si.cor,T,T,T,T,T,T,F,F,T,F,T,T
si.cont,T,T,T,T,T,T,T,T,T,T,T,T
si.distr,F,F,F,F,F,T,F,F,F,F,F,F
si.ant,T,T,T,T,T,F,F,F,T,F,T,F
i̯.distr,F,F,F,F,F,T,F,F,F,F,F,F
i̯.cons,F,F,F,F,F,T,T,F,F,F,F,F
i̯.syll,F,F,T,F,F,F,F,F,F,F,F,F
i̯.obstr,F,F,F,F,F,T,T,F,F,F,F,F
i̯.cor,F,T,F,T,T,T,F,F,T,T,T,T
i̯.cont,F,T,T,T,T,F,T,F,T,T,T,T
i̯.voice,F,T,T,T,T,T,F,F,T,T,T,T
i̯.front,F,F,T,F,F,F,F,F,F,F,F,F
i̯.lab,F,F,T,F,F,F,F,F,F,F,F,F
i̯.tense,F,F,T,F,F,F,F,F,F,F,F,F
i̯.high,F,T,T,T,T,T,F,F,T,T,T,T
u̯.cons,T,F,F,T,T,T,F,T,F,F,T,F
u̯.obstr,T,F,F,F,T,T,F,T,F,F,F,F
u̯.cont,T,T,T,T,T,T,F,F,T,T,T,T
u̯.voice,F,T,T,T,T,T,F,T,T,T,T,T
u̯.ant,T,F,F,T,T,T,F,F,F,F,T,F
u̯.high,F,T,T,F,F,F,F,T,T,T,F,T
u̯.back,F,T,T,F,F,F,F,T,T,T,F,T
m.cons,T,T,T,T,T,T,T,T,T,T,T,T
m.lab,T,T,T,T,T,T,T,T,T,T,T,T
m.nasal,T,T,T,T,T,T,T,T,T,T,T,T
m.voice,T,T,T,T,T,T,T,T,T,T,T,T
n.cons,T,T,T,T,T,T,T,T,T,T,T,T
